                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.783,                 2.5968,                0.90893,                0.03838,                0.19463,                0.13209,                0.05003,                  1.737,                 2.9315,                0.85957,             0.00040598,             0.00040598,             0.00040598
                      2,                 1.6363,                 1.3112,                0.85663,                0.95448,                0.17873,                0.21087,                0.11755,                 1.4506,                 1.9587,                0.83966,             0.00081451,             0.00081451,             0.00081451
                      3,                 1.5685,                 1.1606,                0.84589,                0.81734,                0.22211,                0.26275,                0.14697,                 1.3997,                 1.3704,                0.83502,              0.0012148,              0.0012148,              0.0012148
                      4,                   1.53,                 1.0956,                0.84189,                0.63033,                0.26381,                0.27672,                0.16321,                 1.3657,                 1.0443,                0.83176,              0.0012129,              0.0012129,              0.0012129
                      5,                 1.4567,                 1.0249,                0.83762,                0.74769,                0.28035,                 0.2957,                0.16442,                 1.3581,                0.95494,                0.82935,              0.0012005,              0.0012005,              0.0012005
                      6,                 1.4199,                0.97489,                  0.832,                 0.6534,                0.29877,                0.34971,                0.20448,                 1.2822,                0.86056,                0.82177,              0.0011881,              0.0011881,              0.0011881
                      7,                 1.3603,                0.91404,                0.82513,                 0.7117,                0.35559,                0.42412,                0.25706,                 1.2274,                 0.7827,                0.81928,              0.0011757,              0.0011757,              0.0011757
                      8,                 1.3374,                0.86908,                0.82474,                0.71502,                0.47108,                0.47629,                 0.2644,                 1.3184,                0.81559,                0.82722,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.3302,                0.83755,                0.82473,                0.76083,                0.50931,                 0.5371,                0.33588,                 1.2221,                0.68822,                0.81916,               0.001151,               0.001151,               0.001151
                     10,                  1.327,                0.79963,                0.82291,                0.76458,                0.52514,                0.55513,                0.32971,                 1.2216,                0.68116,                0.81688,              0.0011386,              0.0011386,              0.0011386
                     11,                 1.3136,                0.76851,                0.82015,                0.80524,                0.46747,                0.56268,                0.34295,                 1.1385,                0.64963,                0.81198,              0.0011263,              0.0011263,              0.0011263
                     12,                 1.2584,                0.73318,                 0.8179,                 0.8444,                0.49957,                0.57672,                0.33889,                 1.1824,                0.65678,                0.81588,              0.0011139,              0.0011139,              0.0011139
                     13,                  1.284,                0.73208,                0.81758,                0.74892,                0.52813,                  0.562,                0.33707,                 1.2376,                0.68312,                0.81905,              0.0011015,              0.0011015,              0.0011015
                     14,                 1.2716,                0.71117,                0.81755,                0.85439,                0.51374,                0.60604,                0.38383,                 1.1255,                0.61929,                 0.8106,              0.0010891,              0.0010891,              0.0010891
                     15,                 1.2357,                0.69756,                0.81538,                0.85111,                0.49333,                0.56237,                0.34085,                 1.1354,                 0.6376,                 0.8127,              0.0010768,              0.0010768,              0.0010768
                     16,                  1.265,                0.72056,                0.81711,                0.86897,                0.50094,                0.60073,                  0.374,                 1.1568,                 0.6111,                0.81062,              0.0010644,              0.0010644,              0.0010644
                     17,                 1.2504,                0.68774,                0.81559,                0.79494,                0.54648,                0.60802,                0.36884,                 1.1098,                0.59563,                0.81103,               0.001052,               0.001052,               0.001052
                     18,                 1.2153,                0.66353,                0.81119,                0.85278,                0.52714,                0.60094,                0.37046,                 1.1008,                0.59966,                0.80826,              0.0010396,              0.0010396,              0.0010396
                     19,                 1.2675,                0.69275,                0.81854,                0.88358,                0.52045,                0.59021,                0.35072,                 1.2143,                0.61307,                 0.8212,              0.0010273,              0.0010273,              0.0010273
                     20,                 1.2665,                 0.6851,                 0.8167,                0.83375,                0.54832,                0.60475,                0.38009,                 1.1048,                0.58296,                0.81097,              0.0010149,              0.0010149,              0.0010149
                     21,                 1.2121,                0.65433,                0.81348,                0.85076,                0.56812,                0.61375,                0.38472,                 1.1049,                0.58785,                0.80797,              0.0010025,              0.0010025,              0.0010025
                     22,                  1.225,                0.64076,                0.81132,                0.82621,                0.55557,                0.61931,                0.38831,                 1.0942,                0.57846,                0.80954,             0.00099013,             0.00099013,             0.00099013
                     23,                 1.1426,                 0.6083,                0.80783,                 0.6156,                0.54516,                0.60962,                0.38546,                 1.0712,                0.56808,                0.80541,             0.00097775,             0.00097775,             0.00097775
                     24,                 1.1768,                0.61733,                0.80683,                0.69339,                0.61877,                0.63212,                0.38974,                 1.0973,                 0.5667,                0.80732,             0.00096537,             0.00096537,             0.00096537
                     25,                 1.1577,                0.60385,                0.80767,                0.82255,                0.59068,                0.64404,                0.40269,                 1.0836,                0.55439,                0.80754,               0.000953,               0.000953,               0.000953
                     26,                  1.178,                0.60837,                0.80965,                0.69092,                0.63083,                0.65668,                0.39228,                 1.0893,                0.56637,                0.80672,             0.00094062,             0.00094062,             0.00094062
                     27,                 1.1821,                0.60461,                0.80772,                0.63384,                0.53721,                0.61381,                0.37761,                 1.0652,                0.56152,                0.80343,             0.00092825,             0.00092825,             0.00092825
                     28,                 1.1318,                0.58679,                0.80671,                0.61975,                0.61212,                0.64554,                0.41007,                 1.0637,                0.53915,                0.80487,             0.00091588,             0.00091588,             0.00091588
                     29,                 1.1426,                0.58648,                0.80535,                0.64244,                0.64579,                0.64311,                0.40754,                 1.0504,                0.55335,                0.80309,              0.0009035,              0.0009035,              0.0009035
                     30,                 1.1318,                  0.581,                0.80561,                0.76194,                0.64295,                0.66235,                0.41479,                 1.0362,                0.53989,                0.80352,             0.00089112,             0.00089112,             0.00089112
